Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
2.457983493804931641e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.830999999999999872e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.557053089141845703e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.830999999999999872e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.656095790863037109e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.841000000000000014e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.755130577087402344e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.862999999999999901e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.854179883003234863e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.862999999999999901e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.953254771232604980e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.878999999999999915e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.052398395538330078e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.896000000000000085e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.151519560813903809e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.901999999999999957e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.250622534751892090e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.928000000000000114e+01,2.769999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.349665164947509766e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.941000000000000014e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.448781251907348633e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.960000000000000142e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.547877454757690430e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.973000000000000043e+01,2.769999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.646933555603027344e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.992000000000000171e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.745997476577758789e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.001999999999999957e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.845090842247009277e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.023999999999999844e+01,2.773000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.944144272804260254e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.030999999999999872e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.043241190910339355e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.057000000000000028e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.142322564125061035e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.073000000000000043e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.243161177635192871e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.089000000000000057e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.342197346687316895e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.117999999999999972e+01,2.769999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.441314983367919922e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.121000000000000085e+01,2.769999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.540368008613586426e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.150000000000000000e+01,2.773000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.639452314376831055e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.153000000000000114e+01,2.773000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.746187615394592285e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.185999999999999943e+01,2.776000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.845294451713562012e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.189000000000000057e+01,2.778999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.944373416900634766e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.217999999999999972e+01,2.778999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.043459773063659668e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.236999999999999744e+01,2.789000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.142541313171386719e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.250000000000000000e+01,2.789000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.241676187515258789e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.278999999999999915e+01,2.785999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.340717172622680664e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.285000000000000142e+01,2.798999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.447180724143981934e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.314000000000000057e+01,2.798999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.546279335021972656e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.327000000000000313e+01,2.798999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.645409488677978516e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.346999999999999886e+01,2.798999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.744469547271728516e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.363000000000000256e+01,2.798999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.843557024002075195e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.378999999999999915e+01,2.798999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.942684864997863770e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.407999999999999829e+01,2.798999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.041805934906005859e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.414000000000000057e+01,2.798999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.140876507759094238e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.442999999999999972e+01,2.798999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.239985013008117676e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.446999999999999886e+01,2.798999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.339142370223999023e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.475999999999999801e+01,2.798999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.438212919235229492e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.497999999999999687e+01,2.798999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.542936563491821289e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.507999999999999829e+01,2.798999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.641950011253356934e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.539999999999999858e+01,2.801999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
